Acc_X,Acc_Y,Acc_Z
-4.797262,-8.803958,0.076614
-4.78873,-8.811207,0.06399
-4.784377,-8.808594,0.110895
-4.776672,-8.813295,0.090501
-4.756191,-8.82938,0.053108
-4.760326,-8.821,0.069758
-4.759433,-8.826944,0.049919
-4.760435,-8.822307,0.047884
-4.763144,-8.824907,0.054348
-4.767726,-8.819695,0.072153
-4.772122,-8.816887,0.073861
-4.776552,-8.816528,0.05794
-4.784921,-8.811206,0.065623
-4.77308,-8.813536,0.069312
-4.774365,-8.817082,0.063555
-4.783376,-8.814254,0.068953
-4.786336,-8.812077,0.063773
-4.7817,-8.810902,0.060693
-4.777303,-8.816974,0.064643
-4.780458,-8.816212,0.054087
-4.770207,-8.818204,0.062369
-4.768814,-8.820239,0.066711
-4.773386,-8.818498,0.067582
-4.768292,-8.816528,0.069073
-4.769141,-8.817628,0.079335
-4.785051,-8.812338,0.077931
-4.779044,-8.815234,0.080532
-4.771165,-8.819041,0.065721
-4.770087,-8.818085,0.066319
-4.767835,-8.820347,0.082926
-4.777869,-8.816408,0.07039
-4.779806,-8.815559,0.067691
-4.779425,-8.814493,0.077812
-4.770991,-8.818606,0.078247
-4.774996,-8.816887,0.067516
-4.778707,-8.81569,0.06177
-4.777956,-8.81632,0.066602
-4.770327,-8.820837,0.072903
-4.775235,-8.81964,0.070868
-4.765985,-8.822633,0.068997
-4.766017,-8.82347,0.077812
-4.775562,-8.820022,0.07237
-4.782744,-8.815125,0.068452
-4.772188,-8.816975,0.068888
-4.7653,-8.818084,0.083677
-4.775562,-8.818824,0.073894
-4.76925,-8.81976,0.077213
-4.775235,-8.818606,0.081512
-4.781874,-8.813927,0.071282
-4.783016,-8.813775,0.06596
-4.777521,-8.815341,0.071608
-4.771405,-8.818323,0.076016
-4.78405,-8.81458,0.073023
-4.781003,-8.813493,0.074656
-4.782059,-8.813774,0.082959
-4.778391,-8.814254,0.089891
-4.781341,-8.813775,0.081882
-4.779665,-8.813535,0.088585
-4.779588,-8.815342,0.085103
-4.788882,-8.81174,0.081882
-4.800853,-8.805634,0.092177
-4.794716,-8.806527,0.089238
-4.775116,-8.818204,0.084396
-4.783506,-8.809793,0.086953
-4.788044,-8.811501,0.084276
-4.784376,-8.811316,0.079335
-4.769968,-8.81605,0.093374
-4.778065,-8.815559,0.091197
-4.781341,-8.813296,0.093853
-4.778827,-8.815342,0.093809
-4.76482,-8.818921,0.098043
-4.774277,-8.815331,0.091339
-4.780568,-8.816648,0.094897
-4.76506,-8.822034,0.097324
-4.75532,-8.827095,0.106651
-4.758367,-8.825245,0.10676
-4.758475,-8.827063,0.101035
-4.754231,-8.826769,0.10861
-4.755723,-8.826585,0.108098
-4.752708,-8.828185,0.111113
-4.75668,-8.825626,0.108936
-4.75285,-8.829098,0.101275
-4.765224,-8.820022,0.09468
-4.774692,-8.815778,0.092503
-4.766496,-8.820837,0.101275
-4.768597,-8.822089,0.092068
-4.768173,-8.819041,0.100078
-4.766203,-8.824265,0.103277
-4.755962,-8.825387,0.096247
-4.758476,-8.824788,0.112767
-4.770121,-8.821219,0.10023
-4.767933,-8.821316,0.065122
-4.76087,-8.823503,0.071717
-4.760435,-8.825355,0.068997
-4.761349,-8.823472,0.07015
-4.766855,-8.818824,0.084776
-4.755962,-8.82814,0.085832
-4.744111,-8.831133,0.084036
-4.731051,-8.838958,0.066385
-4.730224,-8.840231,0.056383
-4.741499,-8.829164,0.062576
-4.743512,-8.836281,0.043215
-4.736819,-8.836454,0.059964
-4.74139,-8.837434,0.053108
-4.743512,-8.834365,0.048961
-4.741498,-8.83036,0.056917
-4.746385,-8.831491,0.052433
-4.757518,-8.826105,0.039265
-4.746288,-8.831449,0.044293
-4.745188,-8.831373,0.04561
-4.753143,-8.83134,0.037001
-4.75273,-8.83185,0.039983
-4.753688,-8.832102,0.03341
-4.743349,-8.832428,0.037763
-4.747104,-8.830653,0.035075
-4.747702,-8.832211,0.029383
-4.754885,-8.827421,0.032801
-4.750695,-8.828979,0.034477
-4.749117,-8.829816,0.027969
-4.758236,-8.827662,0.016759
-4.753035,-8.826333,0.024921
-4.744437,-8.832428,0.017957
-4.754667,-8.829272,0.011645
-4.747462,-8.83245,0.026097
-4.737287,-8.839632,0.021308
-4.733119,-8.841025,0.011645
-4.73609,-8.834845,0.024181
-4.737288,-8.836161,0.033639
-4.731596,-8.838958,0.024269
-4.734098,-8.835366,0.022418
-4.741597,-8.83604,0.026815
-4.737581,-8.837325,0.02231
-4.739757,-8.835583,0.020351
-4.747702,-8.831732,0.014724
-4.742587,-8.832211,0.020242
-4.74447,-8.831013,0.02083
-4.737646,-8.834125,0.027414
-4.739757,-8.832537,0.031342
-4.746265,-8.832689,0.026097
-4.743991,-8.833647,0.024541
-4.739213,-8.835257,0.02133
-4.755755,-8.827857,0.011318
-4.758835,-8.825865,0.009337
-4.752011,-8.831014,0.010534
-4.745417,-8.832428,0.024051
-4.737407,-8.837118,0.035554
-4.743893,-8.836236,0.024377
-4.743632,-8.834964,0.030885
-4.738125,-8.839033,0.025259
-4.741836,-8.836161,0.034716
-4.748355,-8.833951,0.027751
-4.737689,-8.837869,0.028404
-4.737527,-8.836879,0.039265
-4.747343,-8.833406,0.032202
-4.739562,-8.838914,0.028012
-4.744764,-8.831449,0.034498
-4.757061,-8.828836,0.035478
-4.744231,-8.837238,0.034237
-4.742913,-8.835258,0.028295
-4.751772,-8.830654,0.036871
-4.746265,-8.83604,0.032681
-4.745743,-8.835475,0.016868
-4.753796,-8.829708,0.038634
-4.754884,-8.829926,0.036566
-4.755602,-8.830295,0.037828
-4.756517,-8.830033,0.036348
-4.754765,-8.828738,0.045969
-4.758955,-8.829457,0.042497
-4.752381,-8.829164,0.036784
-4.75656,-8.829455,0.038307
-4.759129,-8.826986,0.036892
-4.759792,-8.827063,0.031005
-4.757039,-8.826822,0.030765
-4.753035,-8.828728,0.035804
-4.758802,-8.828075,0.039287
-4.758715,-8.827302,0.037948
-4.758149,-8.827095,0.047993
-4.762829,-8.82666,0.04364
-4.761947,-8.825625,0.049081
-4.76272,-8.826986,0.04451
-4.752131,-8.828738,0.067636
-4.763384,-8.824669,0.069552
-4.75902,-8.828946,0.063773
-4.751293,-8.831971,0.075537
-4.764701,-8.824189,0.068235
-4.759792,-8.826344,0.056383
-4.748573,-8.833298,0.0715
-4.754286,-8.829696,0.07865
-4.764135,-8.826008,0.072261
-4.759891,-8.825571,0.075417
-4.767814,-8.822513,0.081163
-4.762905,-8.825266,0.077213
-4.763156,-8.826443,0.084668
-4.769968,-8.825985,0.06596
-4.759673,-8.827421,0.074819
-4.762828,-8.824484,0.101754
-4.774038,-8.823471,0.080445
-4.764102,-8.826224,0.096845
-4.758802,-8.83123,0.099468
-4.745525,-8.837216,0.092177
-4.740878,-8.838316,0.085832
-4.753688,-8.829816,0.093374
-4.750749,-8.830361,0.094244
-4.740998,-8.836998,0.093853
-4.743752,-8.83221,0.092536
-4.744111,-8.831013,0.110133
-4.733935,-8.839153,0.114084
-4.73621,-8.836638,0.103669
-4.743457,-8.832429,0.104474
-4.747223,-8.833168,0.114682
-4.746984,-8.831492,0.113605
-4.755538,-8.826878,0.112636
-4.75162,-8.833951,0.097509
-4.751892,-8.830534,0.103549
-4.690567,-8.859308,0.159323
-4.667496,-8.867644,0.193811
-4.739757,-8.836999,0.171512
-4.7155,-8.848131,0.106781
-4.728787,-8.843583,0.147722
-4.739975,-8.834713,0.117316
-4.737799,-8.839719,0.083906
-4.73202,-8.839632,0.089304
-4.752969,-8.829457,0.077572
-4.753035,-8.830359,0.063882
-4.741172,-8.834495,0.068344
-4.755483,-8.826465,0.07015
-4.758476,-8.829697,0.055905
-4.752708,-8.827749,0.066711
-4.76506,-8.821556,0.06608
-4.758356,-8.825506,0.069073
-4.752708,-8.827096,0.078682
-4.741499,-8.835692,0.05659
-4.760989,-8.825027,0.054827
-4.766529,-8.822524,0.053108
-4.748028,-8.827531,0.05757
-4.745667,-8.833168,0.032561
-4.752011,-8.827781,0.040941
-4.752382,-8.831014,0.033301
-4.746385,-8.834126,0.031005
-4.754405,-8.827422,0.039025
-4.750858,-8.831013,0.039613
-4.752055,-8.829271,0.043204
-4.764821,-8.824309,0.032681
-4.768412,-8.822752,0.025498
-4.759891,-8.82764,0.024268
-4.759129,-8.825898,0.029275
-4.775834,-8.821436,0.012929
-4.775235,-8.817517,0.013712
-4.768161,-8.818172,0.029057
-4.766856,-8.818563,-0.014365
-4.774691,-8.819805,0.022092
-4.762393,-8.822198,0.038743
-4.74435,-8.831253,0.030167
-4.742674,-8.832689,0.01664
-4.751402,-8.829055,0.034281
-4.742478,-8.832645,0.043422
-4.741238,-8.8364,0.021428
-4.747375,-8.831231,0.030472
-4.739866,-8.833625,0.044293
-4.745787,-8.83197,0.041659
-4.737527,-8.836638,0.037469
-4.732249,-8.842548,0.027969
-4.734773,-8.838914,0.04525
-4.743871,-8.834485,0.031843
-4.735078,-8.839067,0.02046
-4.730398,-8.83972,0.054196
-4.736449,-8.839393,0.042018
-4.740519,-8.835083,0.034477
-4.737472,-8.834278,0.039722
-4.73214,-8.836041,0.042377
-4.745906,-8.83185,0.036751
-4.735404,-8.834278,0.031451
-4.72463,-8.840046,0.040919
-4.731269,-8.839828,0.04266
-4.731542,-8.839752,0.034237
-4.726916,-8.842767,0.046252
-4.724957,-8.840481,0.040484
-4.729386,-8.837358,0.034836
-4.727351,-8.839752,0.03723
-4.725719,-8.841897,0.042007
-4.730725,-8.83776,0.032757
-4.70293,-8.85304,0.022027
-4.716795,-8.846792,0.020786
-4.738484,-8.836519,0.017837
-4.751293,-8.827966,0.033628
-4.74226,-8.832755,0.03896
-4.737886,-8.838076,0.042736
-4.741826,-8.833407,0.03896
-4.745547,-8.834125,0.04525
-4.736384,-8.83602,0.04636
-4.735949,-8.833625,0.035913
-4.74459,-8.834125,0.047405
-4.743871,-8.833406,0.042497
-4.738234,-8.836563,0.033084
-4.748573,-8.833406,0.041137
-4.750814,-8.828021,0.044053
-4.756321,-8.830534,0.022745
-4.76359,-8.823395,0.04549
-4.765441,-8.820674,0.064208
-4.763624,-8.823232,0.048842
-4.756843,-8.827312,0.047775
-4.756299,-8.827312,0.055067
-4.761827,-8.825746,0.052433
-4.756441,-8.828021,0.048842
-4.758802,-8.825789,0.060834
-4.756517,-8.825571,0.053434
-4.756919,-8.828619,0.04549
-4.76099,-8.82395,0.062369
-4.759781,-8.826225,0.062793
-4.757714,-8.827096,0.056264
-4.768053,-8.820956,0.051954
-4.779305,-8.81617,0.06201
-4.784268,-8.811859,0.072479
-4.791157,-8.809225,0.06213
-4.791515,-8.81174,0.062848
-4.781655,-8.816975,0.067364
-4.780459,-8.815125,0.071173
-4.778587,-8.816647,0.0826
-4.78146,-8.813057,0.079847
-4.783833,-8.815342,0.078138
